term,normalized_term,ceded_to_url,source_file,date
nike vapor 17 elite fg,nike vapor 17 elite fg,"Breakout twins (Batch 1/2, shipped)",deliverables/page-optimizations/2026-07-11_session-01/inputs/_registry1_primaries.txt,2026-07-11
nike vapor 17 elite ag,nike vapor 17 elite ag,"Breakout twins (Batch 1/2, shipped)",deliverables/page-optimizations/2026-07-11_session-01/inputs/_registry1_primaries.txt,2026-07-11
nike vapor 17 pro,nike vapor 17 pro,"Breakout twins (Batch 1/2, shipped)",deliverables/page-optimizations/2026-07-11_session-01/inputs/_registry1_primaries.txt,2026-07-11
nike zoom superfly 11 elite ag,nike zoom superfly 11 elite ag,"Breakout twins (Batch 1/2, shipped)",deliverables/page-optimizations/2026-07-11_session-01/inputs/_registry1_primaries.txt,2026-07-11
nike tiempo maestro elite fg,nike tiempo maestro elite fg,"Breakout twins (Batch 1/2, shipped)",deliverables/page-optimizations/2026-07-11_session-01/inputs/_registry1_primaries.txt,2026-07-11
nike tiempo maestro elite ag,nike tiempo maestro elite ag,"Breakout twins (Batch 1/2, shipped)",deliverables/page-optimizations/2026-07-11_session-01/inputs/_registry1_primaries.txt,2026-07-11
nike vapor 17 pro shadow,nike vapor 17 pro shadow,Batch 6 Shadow entries (shipped 2026-07-08),deliverables/page-optimizations/2026-07-11_session-01/inputs/_registry1_primaries.txt,2026-07-11
nike phantom 6 high elite fg shadow,nike phantom 6 high elite fg shadow,Batch 6 Shadow entries (shipped 2026-07-08),deliverables/page-optimizations/2026-07-11_session-01/inputs/_registry1_primaries.txt,2026-07-11
nike phantom 6 low elite fg,nike phantom 6 low elite fg,Batch 6 Shadow entries (shipped 2026-07-08),deliverables/page-optimizations/2026-07-11_session-01/inputs/_registry1_primaries.txt,2026-07-11
nike phantom 6 high elite ag shadow,nike phantom 6 high elite ag shadow,Batch 6 Shadow entries (shipped 2026-07-08),deliverables/page-optimizations/2026-07-11_session-01/inputs/_registry1_primaries.txt,2026-07-11
liverpool jersey,liverpool jersey,/collections/liverpool,deliverables/page-optimizations/2026-07-13_session-01/inputs/_registry1_primaries.txt,2026-07-13
liverpool soccer jersey,liverpool soccer jersey,/collections/liverpool,deliverables/page-optimizations/2026-07-13_session-01/inputs/_registry1_primaries.txt,2026-07-13
manchester united jersey,manchester united jersey,/collections/manchester-united,deliverables/page-optimizations/2026-07-13_session-01/inputs/_registry1_primaries.txt,2026-07-13
manchester united soccer jersey,manchester united soccer jersey,/collections/manchester-united,deliverables/page-optimizations/2026-07-13_session-01/inputs/_registry1_primaries.txt,2026-07-13
man united jersey,man united jersey,/collections/manchester-united,deliverables/page-optimizations/2026-07-13_session-01/inputs/_registry1_primaries.txt,2026-07-13
f50 messi,f50 messi,the SENIOR F50 Messi Elite El Ultimo Tango PDP + Messi collections,deliverables/page-optimizations/2026-07-13_session-01/inputs/_registry1_primaries.txt,2026-07-13
adidas f50 messi,adidas f50 messi,the SENIOR F50 Messi Elite El Ultimo Tango PDP + Messi collections,deliverables/page-optimizations/2026-07-13_session-01/inputs/_registry1_primaries.txt,2026-07-13
nike phantom 6 low pro,nike phantom 6 low pro,shipped Breakout / model-level pages,deliverables/page-optimizations/2026-07-13_session-01/inputs/_registry1_primaries.txt,2026-07-13
nike phantom 6 low pro fg,nike phantom 6 low pro fg,shipped Breakout / model-level pages,deliverables/page-optimizations/2026-07-13_session-01/inputs/_registry1_primaries.txt,2026-07-13
nike phantom 6 academy,nike phantom 6 academy,shipped Breakout / model-level pages,deliverables/page-optimizations/2026-07-13_session-01/inputs/_registry1_primaries.txt,2026-07-13
