url,page_type,phase,target_keywords,brief_date,brief_file_path,implementer,implementation_date,crawl_verified_date,baseline_impressions,baseline_clicks,baseline_position,baseline_ctr,day_30_impressions,day_30_clicks,day_30_position,day_30_ctr,day_60_impressions,day_60_clicks,day_60_position,day_60_ctr,status,notes,primary_keyword,normalized_primary,normalized_target_keywords,primary_volume,ceded_from,kw_source,kw_recorded_date,handle
/collections/mexico,collection,Wave 1,mexico jersey;mexico soccer jersey;mexico national team jersey;mexico world cup jersey 2026,2026-05-08,deliverables/page-optimizations/2026-05-08_mexico.md,Misha+Jorge,,,114991,150,27.70,0.13,,,,,,,,,approved,Approved 2026-05-08 by Mike. Bundle A unblocked (same-day dispatch confirmed by Mike per Jorge ops 2026-05-08); ready for Jorge to ship. KIRA Tier 1 Wave 1 (83.5); SCRIBE rebuild scope (3 internal anchors after SAGE dropped); VERITAS 3 High schema gaps + 1 FAQPage + 1 Medium og:url; foundation clean. Bundle B preceded by approved 10-credit schema audit on Wave 1 sample. Bundle C ships with SCRIBE FAQ copy.; white-label meta status: complete; white-label marked complete but no primary recorded,mexico jersey,mexico jersey,mexico jersey;mexico soccer jersey;mexico national team jersey;mexico world cup jersey 2026,,,collections-master target_keywords,2026-05-08,mexico
/collections/2026-national-team-soccer-fan-gear,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: complete; white-label marked complete but no primary recorded,,,,,,,,2026-national-team-soccer-fan-gear
/collections/2026-national-team-soccer-accessories,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: complete; white-label marked complete but no primary recorded; white-label meta status: in_progress,,,,,,,,2026-national-team-soccer-accessories
/collections/2026-national-team-soccer-scarves,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: complete; white-label marked complete but no primary recorded; white-label meta status: in_progress,,,,,,,,2026-national-team-soccer-scarves
/collections/adidas-2026-fifa-world-cup-away-soccer-jerseys-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: complete; white-label marked complete but no primary recorded,,,,,,,,adidas-2026-fifa-world-cup-away-soccer-jerseys-apparel
/collections/nike-2026-federation-soccer-jerseys,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: complete; white-label marked complete but no primary recorded,,,,,,,,nike-2026-federation-soccer-jerseys
/collections/adidas-2026-fifa-world-cup-soccer-jerseys-gear,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: complete; white-label marked complete but no primary recorded,,,,,,,,adidas-2026-fifa-world-cup-soccer-jerseys-gear
/collections/adidas-2026-world-cup-balls,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: complete; white-label marked complete but no primary recorded,,,,,,,,adidas-2026-world-cup-balls
/collections/adidas-soccer-cleats,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: complete; white-label marked complete but no primary recorded,,,,,,,,adidas-soccer-cleats
/collections/all-footwear,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: complete; white-label marked complete but no primary recorded,,,,,,,,all-footwear
/collections/apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: complete; white-label marked complete but no primary recorded,,,,,,,,apparel
/collections/apparel-sale,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,apparel-sale
/collections/argentina,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,argentina
/collections/austria,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,austria
/collections/balls-sale,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,balls-sale
/collections/belgium,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,belgium
/collections/brazil,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,brazil
/collections/canada,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,canada
/collections/colombia,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress; source sheet flags: no page,,,,,,,,colombia
/collections/croatia,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,croatia
/collections/england,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,england
/collections/equipment-sale,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,equipment-sale
/collections/footwear-sale,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,footwear-sale
/collections/france,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,france
/collections/germany,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,germany
/collections/goalkeeper,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,goalkeeper
/collections/goalkeeper-sale,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,goalkeeper-sale
/collections/italy,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,italy
/collections/japan,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,japan
/collections/men,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,men
/collections/morocco,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,morocco
/collections/national-team-flags,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,national-team-flags
/collections/netherlands,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,netherlands
/collections/new-arrivals,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,new-arrivals
/collections/new-balance-infinite-light-pack,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,new-balance-infinite-light-pack
/collections/new-balance-pure-ambition-pack,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,new-balance-pure-ambition-pack
/collections/new-balance-soccer-cleats,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,new-balance-soccer-cleats
/collections/new-soccer-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,new-soccer-apparel
/collections/nike-2026-federation-soccer-jerseys-gear,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,nike-2026-federation-soccer-jerseys-gear
/collections/nike-heat-up-pack,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,nike-heat-up-pack
/collections/nike-soccer-shoes-cleats,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,nike-soccer-shoes-cleats
/collections/norway,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,norway
/collections/official-licensed-jerseys-sale,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,official-licensed-jerseys-sale
/collections/portugal,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,portugal
/collections/puma-soccer-cleats,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,puma-soccer-cleats
/collections/shin-guards-sale,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,shin-guards-sale
/collections/soccer-equipment,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,soccer-equipment
/collections/spain,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,spain
/collections/switzerland,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,switzerland
/collections/united-states-men-women,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,united-states-men-women
/collections/uruguay,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,uruguay
/collections/usa-national-soccer-team-denim-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,usa-national-soccer-team-denim-apparel
/collections/women,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,women
/collections/womens-soccer-dresses,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,womens-soccer-dresses
/collections/youth-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,youth-apparel
/collections/soccer-socks,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,soccer-socks
/collections/adidas-2026-fifa-world-cup-logo-t-shirts,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress; white-label meta status: in_progress,,,,,,,,adidas-2026-fifa-world-cup-logo-t-shirts
/collections/2026-fifa-world-cup-logo-accessories,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,2026-fifa-world-cup-logo-accessories
/collections/sokito-soccer-cleats-for-men-women-youth,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,sokito-soccer-cleats-for-men-women-youth
/collections/algeria-national-soccer-team-jerseys-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,algeria-national-soccer-team-jerseys-apparel
/collections/australia-national-soccer-team-jerseys-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,australia-national-soccer-team-jerseys-apparel
/collections/czech-republic-national-soccer-team-jerseys-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,czech-republic-national-soccer-team-jerseys-apparel
/collections/egypt-national-soccer-team-jerseys-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,egypt-national-soccer-team-jerseys-apparel
/collections/ghana-national-soccer-team-jerseys-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,ghana-national-soccer-team-jerseys-apparel
/collections/ivory-coast-national-soccer-team-jerseys-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,ivory-coast-national-soccer-team-jerseys-apparel
/collections/new-zealand-national-soccer-team-jerseys-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,new-zealand-national-soccer-team-jerseys-apparel
/collections/scotland-national-soccer-team-jerseys-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,scotland-national-soccer-team-jerseys-apparel
/collections/senegal-national-soccer-team-jerseys-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,senegal-national-soccer-team-jerseys-apparel
/collections/sweden-national-soccer-team-jerseys-apparel,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,sweden-national-soccer-team-jerseys-apparel
/collections/rinat-goalkeeper-gloves,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,rinat-goalkeeper-gloves
/collections/new-soccer-jerseys,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,new-soccer-jerseys
/collections/new-soccer-cleats,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,new-soccer-cleats
/collections/new-soccer-balls,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,new-soccer-balls
/collections/new-goalkeeper-gloves,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,new-goalkeeper-gloves
/collections/official-licensed-jerseys,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,official-licensed-jerseys
/collections/apparel-women-official-licensed-jerseys,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,apparel-women-official-licensed-jerseys
/collections/apparel-youth-official-licensed-jerseys,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,apparel-youth-official-licensed-jerseys
/collections/long-sleeve-soccer-jerseys,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,long-sleeve-soccer-jerseys
/collections/retro-soccer-jerseys,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,retro-soccer-jerseys
/collections/scarves,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,scarves
/collections/national-club-teams-flags,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,national-club-teams-flags
/collections/trading-cards,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,trading-cards
/collections/ac-milan,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,ac-milan
/collections/arsenal,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,arsenal jersey; arsenal soccer jersey,,,arsenal
/collections/barcelona,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,barcelona jersey; barcelona soccer jersey,,,barcelona
/collections/bayern-munich,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,bayern munich jersey; bayern jersey,,,bayern-munich
/collections/chelsea,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,chelsea
/collections/chivas,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,chivas jersey; chivas soccer jersey; chivas guadalajara jersey; nike chivas jersey,,,chivas
/collections/club-america,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,club-america
/collections/inter-miami,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,inter-miami
/collections/inter-milan,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,inter-milan
/collections/juventus,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,juventus
/collections/liverpool,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,liverpool jersey; liverpool soccer jersey,,,liverpool
/collections/manchester-city,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,manchester-city
/collections/manchester-united,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,manchester united jersey; manchester united soccer jersey; man united jersey,,,manchester-united
/collections/real-madrid,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,real madrid jersey; real madrid soccer jersey,,,real-madrid
/collections/tottenham,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,tottenham
/collections/soccer-gift-ideas,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,soccer-gift-ideas
/collections/soccer-player-gifts,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,soccer-player-gifts
/collections/soccer-coach-gifts,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,soccer-coach-gifts
/collections/2026-national-qualified-teams,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,2026-national-qualified-teams
/collections/adidas-ice-cold-precision-soccer-cleats,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,adidas-ice-cold-precision-soccer-cleats
/collections/nike-10r-soccer-cleats,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,nike-10r-soccer-cleats
/collections/paraguay-national-soccer-team-jerseys-apparel-gear,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,paraguay-national-soccer-team-jerseys-apparel-gear
/collections/nike-haaland-pe-pack,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,nike-haaland-pe-pack
/collections/nike-showtime-soccer-cleats,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,nike-showtime-soccer-cleats
/collections/puma-2026-federation-soccer-jerseys,collection,,,,,,,,,,,,,,,,,,,,not_started,white-label meta status: in_progress,,,,,,,,puma-2026-federation-soccer-jerseys
