url,kind,impressions,clicks,ctr,position,top_query,tq_impressions,tq_position,new_this_run
https://www.prosoccer.com/,HOME,908123,15346,0.01690,9.08,prosoccer,53849,3.38,True
https://www.prosoccer.com/products/adidas-mexico-2019-home-authentic-jersey-black,PRODUCT,728930,188,0.00026,6.03,black mexico jersey,225048,5.82,False
https://www.prosoccer.com/products/nike-2024-25-norway-mens-stadium-home-jersey,PRODUCT,693678,679,0.00098,6.27,norway jersey,420721,5.88,False
https://www.prosoccer.com/collections/jude-bellingham,COLLECTION,288371,2708,0.00939,8.57,jude bellingham jersey,71485,9.11,True
https://www.prosoccer.com/collections/official-licensed-jerseys,COLLECTION,219984,1942,0.00883,10.43,soccer jerseys,78424,9.55,True
https://www.prosoccer.com/products/adidas-2026-mexico-mens-authentic-home-long-sleeve-soccer-jersey,PRODUCT,191587,287,0.00150,8.70,mexico jersey world cup 2026 authentic,13444,12.65,False
https://www.prosoccer.com/products/puma-23-24-chivas-mens-away-promo-jersey,PRODUCT,146451,13,0.00009,11.31,chivas jersey,118775,11.63,False
https://www.prosoccer.com/collections/switzerland,COLLECTION,141959,826,0.00582,8.77,switzerland jersey,8836,8.10,True
https://www.prosoccer.com/collections/cristiano-ronaldo,COLLECTION,112323,764,0.00680,10.35,ronaldo jersey,10957,13.64,True
https://www.prosoccer.com/collections/norway,COLLECTION,110069,2022,0.01837,7.93,norway soccer jersey,9856,7.17,True
https://www.prosoccer.com/collections/wide-soccer-cleats,COLLECTION,109245,533,0.00488,10.43,wide soccer cleats,5182,8.69,True
https://www.prosoccer.com/collections/uruguay,COLLECTION,107349,292,0.00272,10.47,uruguay soccer jersey,4463,4.69,True
https://www.prosoccer.com/products/panini-2026-adrenalyn-xl-fifa-world-cup-cards-pack-8-cards-each,PRODUCT,98129,205,0.00209,9.32,world cup cards,12721,9.24,False
https://www.prosoccer.com/collections/france,COLLECTION,94990,279,0.00294,12.88,france world cup merch,2113,9.37,True
https://www.prosoccer.com/blogs/footwear/artificial-grass-ag-soccer-cleats-explained,BLOG,93900,265,0.00282,8.53,ag soccer cleats,7666,9.06,True
https://www.prosoccer.com/blogs/footwear/best-futsal-shoes-indoor,BLOG,93197,845,0.00907,11.08,futsal shoes,3865,28.54,True
https://www.prosoccer.com/collections/erling-haaland,COLLECTION,92655,877,0.00947,9.41,haaland jersey,24619,8.87,True
https://www.prosoccer.com/products/nike-2026-norway-mens-authentic-away-soccer-jersey,PRODUCT,92623,898,0.00970,8.13,norway jersey,20433,9.63,False
https://www.prosoccer.com/collections/neymar-jr,COLLECTION,90746,747,0.00823,9.29,neymar jr jersey,9213,8.65,True
https://www.prosoccer.com/products/nike-elite-backpack-32l,PRODUCT,89296,139,0.00156,8.46,nike elite bookbag,24474,10.66,False
https://www.prosoccer.com/collections/toddler-soccer-cleats-shoes,COLLECTION,88975,559,0.00628,7.90,toddler soccer cleats,15697,4.98,True
https://www.prosoccer.com/products/nike-2024-25-france-mens-authentic-home-jersey,PRODUCT,86207,72,0.00084,7.03,france soccer jersey,22642,8.92,False
https://www.prosoccer.com/products/nike-2026-27-norway-mens-authentic-home-soccer-jersey,PRODUCT,84685,555,0.00655,7.67,norway jersey 2026,17719,7.06,False
https://www.prosoccer.com/collections/christian-pulisic,COLLECTION,81336,225,0.00277,9.52,usmnt jersey,14870,8.54,True
https://www.prosoccer.com/collections/lamine-yamal,COLLECTION,79493,504,0.00634,9.85,lamine yamal jersey,2071,13.72,True
https://www.prosoccer.com/collections/pink-soccer-cleats,COLLECTION,79203,79,0.00100,10.40,pink soccer cleats,9436,9.66,True
https://www.prosoccer.com/collections/spain,COLLECTION,77903,281,0.00361,12.44,spain colors soccer,3679,7.71,True
https://www.prosoccer.com/collections/size-5-soccer-balls,COLLECTION,72389,308,0.00425,8.89,size 5 soccer ball,18724,7.12,True
https://www.prosoccer.com/collections/united-states-men-women,COLLECTION,68460,464,0.00678,17.87,usa soccer gear,1573,11.47,True
https://www.prosoccer.com/blogs/blog/how-should-shin-guards-fit,BLOG,67582,274,0.00405,8.20,how to wear shin guards,977,10.43,True
https://www.prosoccer.com/collections/juventus,COLLECTION,67403,35,0.00052,9.88,juventus jersey,48828,9.53,True
https://www.prosoccer.com/collections/italy,COLLECTION,67029,86,0.00128,14.12,italy soccer jersey,8974,10.81,True
https://www.prosoccer.com/products/nike-2026-27-norway-mens-stadium-home-soccer-jersey,PRODUCT,66959,742,0.01108,8.42,norway soccer jersey,6210,8.71,False
https://www.prosoccer.com/products/nike-2022-23-korea-away-long-sleeve-jersey-black,PRODUCT,66140,34,0.00051,6.06,south korea away jersey,13291,4.50,False
https://www.prosoccer.com/collections/portugal,COLLECTION,64165,138,0.00215,13.86,portugal soccer,2187,10.07,True
https://www.prosoccer.com/collections/size-4-soccer-balls,COLLECTION,64006,200,0.00312,9.33,size 4 soccer ball,18824,7.53,True
https://www.prosoccer.com/collections/laceless-soccer-cleats,COLLECTION,62190,224,0.00360,9.32,laceless soccer cleats,7405,5.40,True
https://www.prosoccer.com/collections/austria,COLLECTION,59777,657,0.01099,6.48,austria jersey,7786,6.39,True
https://www.prosoccer.com/products/adidas-2026-colombia-mens-authentic-away-soccer-jersey,PRODUCT,59506,54,0.00091,6.69,colombia jersey 2026,15933,5.02,False
https://www.prosoccer.com/collections/mexico,COLLECTION,57136,216,0.00378,17.66,soccer pro,2153,4.39,True
https://www.prosoccer.com/products/nike-2026-27-france-mens-authentic-away-soccer-jersey,PRODUCT,56719,798,0.01407,7.52,france away jersey,4405,7.57,False
https://www.prosoccer.com/products/adidas-predator-freak-3-laceless-fg-black-pink-purple,PRODUCT,56457,15,0.00027,7.80,adidas predator cleats,20351,8.56,False
https://www.prosoccer.com/products/nike-2026-27-norway-mens-stadium-third-soccer-jersey,PRODUCT,55921,547,0.00978,7.01,norway soccer jersey,8536,8.59,False
https://www.prosoccer.com/collections/netherlands,COLLECTION,55733,147,0.00264,17.99,team netherlands world cup sweatshirts,1071,11.47,True
https://www.prosoccer.com/collections/adidas-indoor-soccer-shoes,COLLECTION,55383,76,0.00137,10.68,adidas indoor soccer shoes,13573,11.00,True
