url,product_id,product_type,brand,target_keywords,brief_date,brief_file_path,implementer,implementation_date,crawl_verified_date,baseline_impressions,baseline_clicks,baseline_position,baseline_ctr,merchant_listing_status,product_schema_status,review_schema_status,day_30_impressions,day_30_clicks,day_30_position,day_30_ctr,day_60_impressions,day_60_clicks,day_60_position,day_60_ctr,status,notes,primary_keyword,normalized_primary,normalized_target_keywords,primary_volume,ceded_from,kw_source,kw_recorded_date
/products/adidas-2026-united-arab-emirates-mens-stadium-home-soccer-jersey,,jersey,adidas,UAE soccer jersey;united arab emirates soccer jersey;UAE 2026 home jersey;UAE national team jersey;adidas UAE jersey;UAE football jersey,2026-05-26,deliverables/page-optimizations/2026-05-26_session-01/uae-2026-home-stadium_brief.md,,,,,,,,,,,,,,,,,,,superseded,SKU not on disk,UAE soccer jersey,uae soccer jersey,uae soccer jersey;united arab emirates soccer jersey;uae 2026 home jersey;uae national team jersey;adidas uae jersey;uae football jersey,,,brief Primary keyword field,2026-05-26
/products/adidas-2026-united-arab-emirates-mens-stadium-home-soccer-jersey,,jersey,adidas,uae soccer jersey,2026-05-26,deliverables/page-optimizations/2026-05-26_session-01/uae-2026-home-stadium_brief-v2.md,,,,,,,,,,,,,,,,,,,superseded,SKU not on disk,uae soccer jersey,uae soccer jersey,uae soccer jersey,,,brief Primary keyword field,2026-05-26
/products/adidas-2026-united-arab-emirates-mens-stadium-home-soccer-jersey,,jersey,adidas,uae soccer jersey;uae football jersey;uae fa jersey;uae national team jersey;uae home jersey;uae football kit,2026-05-26,deliverables/page-optimizations/2026-05-26_session-01/uae-2026-home-stadium_brief-v3.md,,,,,,,,,,,,,,,,,,,shipped,SKU not on disk,uae soccer jersey,uae soccer jersey,uae soccer jersey;uae football jersey;uae fa jersey;uae national team jersey;uae home jersey;uae football kit,110,,brief Primary keyword field,2026-05-26
/products/adidas-predator-accuracy-1-fg-crazyrush-pack-fa23,,,adidas,adidas predator accuracy;predator accuracy;predator accuracy 1;adidas predator accuracy fg;predator accuracy fg;predator soccer cleats;firm-ground soccer cleats,2026-05-26,deliverables/page-optimizations/2026-05-26_session-01/adidas-predator-accuracy-1-fg-crazyrush-pack-fa23_brief.md,,,,,,,,,,,,,,,,,,,superseded,SKU not on disk,adidas predator accuracy,adidas predator accuracy,adidas predator accuracy;predator accuracy;predator accuracy 1;adidas predator accuracy fg;predator accuracy fg;predator soccer cleats;firm ground soccer cleats,880,,brief Primary keyword field,2026-05-26
/products/adidas-predator-accuracy-1-fg-crazyrush-pack-fa23,,,adidas,adidas predator accuracy;predator accuracy;predator accuracy 1;adidas predator accuracy fg;predator soccer cleats;firm-ground soccer cleats,2026-05-26,deliverables/page-optimizations/2026-05-26_session-01/adidas-predator-accuracy-1-fg-crazyrush-pack-fa23_brief-v2.md,,,,,,,,,,,,,,,,,,,shipped,SKU not on disk,adidas predator accuracy,adidas predator accuracy,adidas predator accuracy;predator accuracy;predator accuracy 1;adidas predator accuracy fg;predator soccer cleats;firm ground soccer cleats,880,,brief Primary keyword field,2026-05-26
/products/nike-2024-25-liverpool-mens-stadium-away-jersey,,jersey,nike,liverpool away jersey;liverpool away kit;liverpool fc away jersey;liverpool stadium jersey;liverpool nike away jersey;liverpool soccer jersey,2026-05-26,deliverables/page-optimizations/2026-05-26_session-01/nike-2024-25-liverpool-mens-stadium-away-jersey_brief-v2.md,,,,,,,,,,,,,,,,,,,shipped,SKU not on disk,liverpool away jersey,liverpool away jersey,liverpool away jersey;liverpool away kit;liverpool fc away jersey;liverpool stadium jersey;liverpool nike away jersey;liverpool soccer jersey,590,,brief Primary keyword field,2026-05-26
/products/adidas-2026-mexico-mens-stadium-away-soccer-jersey,,jersey,adidas,mexico 2026 away jersey;mexico away jersey 2026;mexico away jersey;mexico away kit 2026;mexico burgundy jersey;el tri jersey,2026-05-28,deliverables/page-optimizations/2026-05-28_session-01/adidas-2026-mexico-mens-stadium-away-soccer-jersey_brief.md,,,,,,,,,,,,,,,,,,,shipped,SKU not on disk,mexico 2026 away jersey,mexico 2026 away jersey,mexico 2026 away jersey;mexico away jersey 2026;mexico away jersey;mexico away kit 2026;mexico burgundy jersey;el tri jersey,260,,brief Primary keyword field,2026-05-28
/products/adidas-2026-mexico-mens-stadium-home-soccer-jersey,,jersey,adidas,mexico 2026 home jersey;mexico home jersey;mexico 2026 world cup jersey;mexico jersey 2026;mexico fifa world cup 2026 jersey;mexico stadium jersey;el tri jersey,2026-05-28,deliverables/page-optimizations/2026-05-28_session-01/adidas-2026-mexico-mens-stadium-home-soccer-jersey_brief.md,,,,,,,,,,,,,,,,,,,shipped,SKU not on disk,mexico 2026 home jersey,mexico 2026 home jersey,mexico 2026 home jersey;mexico home jersey;mexico 2026 world cup jersey;mexico jersey 2026;mexico fifa world cup 2026 jersey;mexico stadium jersey;el tri jersey,70,,brief Primary keyword field,2026-05-28
/products/adidas-2026-mexico-mens-stadium-third-soccer-jersey,,jersey,adidas,mexico 2026 third jersey;mexico third jersey 2026;mexico third jersey;mexico third kit 2026;mexico black jersey 2026;mexico alternate jersey;el tri third jersey;mexico black jersey,2026-05-28,deliverables/page-optimizations/2026-05-28_session-01/adidas-2026-mexico-mens-stadium-third-soccer-jersey_brief.md,,,,,,,,,,,,,,,,,,,shipped,SKU not on disk,mexico 2026 third jersey,mexico 2026 third jersey,mexico 2026 third jersey;mexico third jersey 2026;mexico third jersey;mexico third kit 2026;mexico black jersey 2026;mexico alternate jersey;el tri third jersey;mexico black jersey,,,brief Primary keyword field,2026-05-28
/products/adidas-junior-copa-pure-iv-league-firm-ground-soccer-cleats-road-to-glory-pack-sp26,KI0662,cleat,adidas,adidas copa pure iv league,2026-06-03,deliverables/page-optimizations/2026-06-03_session-01/adidas-junior-copa-pure-iv-league-fg-road-to-glory_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas copa pure iv league,adidas copa pure iv league,adidas copa pure iv league,,,brief Primary keyword field,2026-06-03
/products/nike-phantom-6-high-elite-artificial-grass-pro-soccer-cleats-breakout-pack-su26,IQ1869-900,cleat,nike,nike phantom 6 high elite ag,2026-06-08,deliverables/page-optimizations/2026-06-08_session-01/nike-phantom-6-high-elite-artificial-grass-pro-soccer-cleats-breakout-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,nike phantom 6 high elite ag,nike phantom 6 high elite ag,nike phantom 6 high elite ag,90,,brief Primary keyword field,2026-06-08
/products/nike-phantom-6-high-elite-firm-soccer-cleats-breakout-pack-su26,IH1779-900,cleat,nike,nike phantom 6 elite fg,2026-06-08,deliverables/page-optimizations/2026-06-08_session-01/nike-phantom-6-high-elite-firm-soccer-cleats-breakout-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,nike phantom 6 elite fg,nike phantom 6 elite fg,nike phantom 6 elite fg,90,,brief Primary keyword field,2026-06-08
/products/nike-phantom-6-low-elite-artificial-grass-pro-soccer-cleats-breakout-pack-su26,IQ1870-900,cleat,nike,nike phantom 6 elite ag,2026-06-08,deliverables/page-optimizations/2026-06-08_session-01/nike-phantom-6-low-elite-artificial-grass-pro-soccer-cleats-breakout-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,nike phantom 6 elite ag,nike phantom 6 elite ag,nike phantom 6 elite ag,320,,brief Primary keyword field,2026-06-08
/products/nike-phantom-6-low-pro-firm-ground-soccer-cleats-breakout-pack-su26,IQ1886-900,cleat,nike,nike phantom 6 pro,2026-06-08,deliverables/page-optimizations/2026-06-08_session-01/nike-phantom-6-low-pro-firm-ground-soccer-cleats-breakout-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,nike phantom 6 pro,nike phantom 6 pro,nike phantom 6 pro,720,,brief Primary keyword field,2026-06-08
/products/nike-tiempo-maestro-elite-artificial-grass-pro-soccer-cleats-breakout-pack-su26,IQ2383-901,cleat,nike,nike tiempo maestro elite ag,2026-06-08,deliverables/page-optimizations/2026-06-08_session-01/nike-tiempo-maestro-elite-artificial-grass-pro-soccer-cleats-breakout-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,nike tiempo maestro elite ag,nike tiempo maestro elite ag,nike tiempo maestro elite ag,140,"Breakout twins (Batch 1/2, shipped)",brief Primary keyword field,2026-06-08
/products/nike-tiempo-maestro-elite-firm-ground-soccer-cleats-breakout-pack-su26,IH1776-901,cleat,nike,nike tiempo maestro elite fg,2026-06-08,deliverables/page-optimizations/2026-06-08_session-01/nike-tiempo-maestro-elite-firm-ground-soccer-cleats-breakout-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,nike tiempo maestro elite fg,nike tiempo maestro elite fg,nike tiempo maestro elite fg,50,"Breakout twins (Batch 1/2, shipped)",brief Primary keyword field,2026-06-08
/products/nike-vapor-17-elite-artificial-grass-pro-soccer-cleats-breakout-pack-su26,IM5806-900,cleat,nike,nike mercurial vapor 17 elite,2026-06-08,deliverables/page-optimizations/2026-06-08_session-01/nike-vapor-17-elite-artificial-grass-pro-soccer-cleats-breakout-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,nike mercurial vapor 17 elite,nike mercurial vapor 17 elite,nike mercurial vapor 17 elite,90,,brief Primary keyword field,2026-06-08
/products/nike-vapor-17-elite-firm-ground-soccer-cleats-breakout-pack-su26,IO1560-900,cleat,nike,nike mercurial vapor 17 elite fg,2026-06-08,deliverables/page-optimizations/2026-06-08_session-01/nike-vapor-17-elite-firm-ground-soccer-cleats-breakout-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,nike mercurial vapor 17 elite fg,nike mercurial vapor 17 elite fg,nike mercurial vapor 17 elite fg,10,,brief Primary keyword field,2026-06-08
